更新时间: 2025-11-25 03:23:20（北京时间）

更新时间,#genre#
2025-11-25 03:23:20,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
女性时尚,http://116.30.248.183:9876/rtp/239.253.43.8:5146$广东电信
女性时尚,http://116.30.248.183:9876/rtp/239.253.43.23:5146$广东电信
世界地理,http://116.30.248.139:9876/rtp/239.253.43.7:5146$广东电信
世界地理,http://116.30.248.139:9876/rtp/239.253.43.24:5146$广东电信
世界地理,http://113.110.203.130:55555/rtp/239.253.43.7:5146$广东电信
世界地理,http://113.110.203.130:55555/rtp/239.253.43.24:5146$广东电信
世界地理,http://111.227.41.176:7000/rtp/239.254.201.226:7254$河北省电信
世界地理,http://180.159.98.21:10001/rtp/239.45.0.46:5140$上海市电信
世界地理,http://180.159.98.21:10001/rtp/233.18.204.179:5140$上海市电信
世界地理,http://113.25.107.142:10000/rtp/239.1.1.99:8099$山西电信
